方案,項目,類型,天數,通路,說明
# 說明列,以 # 開頭的列程式會忽略,,,,先複製成 data/operations.csv 再改；天數問到實際數字才覆蓋 [待確認]
# 說明列,類型只有兩種,,,,交期＝這項作業要幾天（同方案內依序相加）；截止＝該通路在節慶前幾天截止
# 說明列,天數一律先留 [待確認],,,,寧可空著也不要編。編出來的天數會讓整條回推時程失真
禮盒版,設計定稿,交期,[待確認],,問設計師或代理商：從 brief 到可送印要幾天
禮盒版,紙盒打樣,交期,[待確認],,問印刷廠業務
禮盒版,打樣確認,交期,[待確認],,問主管：內部來回看樣要留幾天
禮盒版,量產印刷,交期,[待確認],,問印刷廠業務：旺季會不會排隊
禮盒版,製盒,交期,[待確認],,問製盒廠或印刷廠業務
禮盒版,包裝入庫,交期,[待確認],,問倉管或代工廠：人力與產能上限各是多少
禮盒版,電商上架審核,交期,[待確認],,看平台後台公告或問平台招商窗口
禮盒版,電商平台活動報名,截止,[待確認],蝦皮/momo/PChome,問平台招商窗口：這一檔幾號截止報名
禮盒版,平台素材繳交,截止,[待確認],蝦皮/momo/PChome,看平台後台公告：素材規格與繳交日
禮盒版,量販通路DM截稿,截止,[待確認],家樂福/大潤發,問通路採購或 DM 窗口
禮盒版,超商商品導入會議,截止,[待確認],7-11/全家,問超商採購：導入會議與提案週期
禮盒版,企業團購報價截止,截止,[待確認],企業客戶,問業務主管：企業客戶編預算的時間點
簡包裝版,拍攝與素材,交期,[待確認],,問攝影師與設計師：含修圖要幾天
簡包裝版,現有包材驗貨,交期,[待確認],,問倉管：現有庫存夠不夠、要不要補印
簡包裝版,入庫,交期,[待確認],,問倉管
簡包裝版,上架審核,交期,[待確認],,看平台後台公告
簡包裝版,電商平台活動報名,截止,[待確認],蝦皮/momo/PChome,問平台招商窗口
簡包裝版,平台素材繳交,截止,[待確認],蝦皮/momo/PChome,看平台後台公告
純數位,素材製作,交期,[待確認],,問設計師：主視覺加幾張延伸稿要幾天
純數位,頁面建置,交期,[待確認],,問電商或網站負責人
純數位,廣告審核,交期,[待確認],,看廣告平台政策：被退件重送要留幾天
純數位,平台素材繳交,截止,[待確認],蝦皮/momo/PChome,看平台後台公告
純數位,廣告投放排期截止,截止,[待確認],Meta/Google,問代理商：旺季競標與排期要多早卡位
